,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,date
0,1,0,0,0,0,0,0,0,0,0.024826216484607744,0.0,0.0,0,0,0,0.20391061452513967
1,1,1,0,1,0,1,1,1,0,0.07149950347567031,0.0,0.38990825688073394,4,1,0,0.6536312849162011
2,1,2,1,2,0,0,1,0,0,0.05991393578285336,0.0,0.3795871559633027,1,1,0,0.723463687150838
3,1,2,0,2,0,0,1,1,1,0.06454816285998013,0.061224489795918366,0.0,0,0,0,0.5893854748603352
4,4,3,0,1,0,0,1,0,1,0.07348560079443893,0.0,0.0,0,0,0,0.6703910614525139
5,1,2,1,2,0,0,0,0,0,0.04534922211188348,0.02040816326530612,0.2029816513761468,3,1,0,0.8687150837988827
6,2,4,0,2,0,0,1,0,0,0.11155246607083748,0.0,0.3795871559633027,2,2,0,0.6452513966480447
7,2,5,0,1,0,0,1,0,0,0.04865938430983118,0.02040816326530612,0.0,0,0,0,0.6675977653631285
8,2,6,0,2,0,0,1,0,1,0.017543859649122806,0.02040816326530612,0.0,0,0,0,0.6452513966480447
9,2,1,0,0,0,0,1,1,0,0.10228401191658391,0.0,0.16972477064220184,2,1,0,0.7206703910614525
10,2,1,0,1,0,1,1,0,1,0.08904336312479312,0.0,0.0,0,0,0,0.6284916201117319
11,2,7,0,1,0,0,1,0,0,0.036080767957629926,0.02040816326530612,0.0,0,0,0,0.7206703910614525
12,2,5,0,2,0,0,0,0,0,0.10724925521350546,0.02040816326530612,0.0,0,0,0,0.39106145251396646
13,0,8,1,1,0,0,0,0,0,0.08507116848725588,0.0,0.0,0,0,1,0.6843575418994413
14,1,3,0,1,0,0,1,1,0,0.028136378682555446,0.0,0.2775229357798165,1,1,0,0.9385474860335196
15,2,2,0,2,0,0,0,1,0,0.06123800066203244,0.02040816326530612,0.0,0,0,0,0.3463687150837989
16,4,5,0,1,0,0,0,0,0,0.07778881165177094,0.08163265306122448,0.0,0,0,0,0.35195530726256985
17,2,7,1,2,0,0,1,0,0,0.036411784177424696,0.0,0.17545871559633028,2,1,0,0.7122905027932961
18,0,3,1,0,0,0,1,0,1,0.0814299900695134,0.0,0.0,0,0,0,0.6201117318435754
19,1,1,0,1,0,0,0,0,0,0.047666335650446874,0.0,0.17545871559633028,1,2,0,0.49441340782122906
20,2,2,2,3,0,0,1,0,0,0.030453492221118834,0.02040816326530612,0.0,0,0,0,0.12011173184357542
21,2,2,2,2,0,0,0,0,0,0.045018205892088714,0.04081632653061224,0.0,0,0,0,0.11731843575418995
22,2,1,1,1,0,0,0,0,1,0.03475670307845084,0.02040816326530612,0.0,0,0,0,0.5642458100558659
23,2,6,0,1,0,0,0,0,0,0.04005296259516716,0.02040816326530612,0.0,0,0,0,0.49441340782122906
24,1,9,0,2,0,0,0,0,0,0.05461767626613704,0.04081632653061224,0.0,0,0,0,0.9357541899441341
25,2,2,0,2,0,1,0,0,0,0.05892088712346905,0.02040816326530612,0.0,0,0,0,0.11452513966480447
26,3,3,0,0,0,0,1,0,1,0.0804369414101291,0.0,0.0,0,0,0,0.6703910614525139
27,4,10,0,3,0,0,0,0,2,0.03806686527639854,0.0,0.12155963302752294,2,1,0,0.37988826815642457
